expect,num1,num2,num3,sum,odd_even,big_small
3259275,4,7,2,13,1,0
3259276,9,2,5,16,0,1
3259277,1,9,3,13,1,0
3259278,0,8,5,13,1,0
3259279,5,4,9,18,0,1
3259280,3,6,5,14,0,1
3259281,1,7,3,11,1,0
3259282,0,9,3,12,0,0
3259283,6,6,7,19,1,1
3259284,0,0,5,5,1,0
3259285,7,0,2,9,1,0
3259286,3,9,9,21,1,1
3259287,6,4,7,17,1,1
3259288,3,0,3,6,0,0
3259289,6,3,9,18,0,1
3259290,4,3,5,12,0,0
3259291,7,9,5,21,1,1
3259292,2,0,1,3,1,0
3259293,3,3,5,11,1,0
3259294,8,9,2,19,1,1
3259295,3,8,7,18,0,1
3259296,8,8,3,19,1,1
3259297,3,2,7,12,0,0
3259298,7,9,3,19,1,1
3259299,3,4,8,15,1,1
3259300,1,9,3,13,1,0
3259301,3,6,5,14,0,1
3259302,0,0,4,4,0,0
3259303,1,1,9,11,1,0
3259304,2,2,8,12,0,0
3259305,4,5,7,16,0,1
3259306,6,4,5,15,1,1
3259307,5,4,2,11,1,0
3259308,1,1,9,11,1,0
3259309,4,8,1,13,1,0
3259310,5,1,0,6,0,0
3259330,7,4,8,19,1,1
3259329,3,8,0,11,1,0
3259328,6,4,0,10,0,0
3259327,4,2,1,7,1,0
3259326,6,9,8,23,1,1
3259325,3,2,5,10,0,0
3259324,5,3,3,11,1,0
3259323,7,4,9,20,0,1
3259322,9,0,8,17,1,1
3259321,7,4,8,19,1,1
3259320,3,9,2,14,0,1
3259319,9,8,4,21,1,1
3259318,9,1,3,13,1,0
3259317,8,0,6,14,0,1
3259316,6,0,3,9,1,0
3259315,0,6,1,7,1,0
3259314,3,1,4,8,0,0
3259313,3,3,6,12,0,0
3259312,7,5,2,14,0,1
3259311,0,1,0,1,1,0
3259330,7,4,8,19,1,1
3259329,3,8,0,11,1,0
3259328,6,4,0,10,0,0
3259327,4,2,1,7,1,0
3259326,6,9,8,23,1,1
3259325,3,2,5,10,0,0
3259324,5,3,3,11,1,0
3259323,7,4,9,20,0,1
3259322,9,0,8,17,1,1
3259321,7,4,8,19,1,1
3259320,3,9,2,14,0,1
3259319,9,8,4,21,1,1
3259318,9,1,3,13,1,0
3259317,8,0,6,14,0,1
3259316,6,0,3,9,1,0
3259315,0,6,1,7,1,0
3259314,3,1,4,8,0,0
3259313,3,3,6,12,0,0
3259312,7,5,2,14,0,1
3259311,0,1,0,1,1,0
